#tick=716507,surfaces=15,speed=1
kind,name,precision,sample,input,output
item,iron-ore,ten_hours,3,103869,101221
item,iron-ore,ten_hours,4,104136,102733
item,iron-ore,ten_hours,5,105259,104470
item,iron-ore,ten_hours,6,105994,105678
item,iron-ore,ten_hours,7,106324,106166
item,iron-ore,ten_hours,8,106188,106097
item,iron-ore,ten_hours,9,106411,106203
item,iron-ore,ten_hours,10,107114,106822
item,iron-ore,ten_hours,11,106501,106342
item,iron-ore,ten_hours,12,106332,106091
item,iron-ore,ten_hours,13,107792,106239
item,iron-ore,ten_hours,14,107964,107438
item,iron-ore,ten_hours,15,108360,108185
item,iron-ore,ten_hours,16,108497,108233
item,iron-ore,ten_hours,17,109123,108866
item,iron-ore,ten_hours,18,109528,109176
item,iron-ore,ten_hours,19,110186,109630
item,iron-ore,ten_hours,20,111075,110225
item,iron-ore,ten_hours,21,112501,111279
item,iron-ore,ten_hours,22,112754,111710
item,iron-ore,ten_hours,23,112634,111730
item,iron-ore,ten_hours,24,113049,112351
item,iron-ore,ten_hours,25,114076,113329
item,iron-ore,ten_hours,26,115658,114733
item,iron-ore,ten_hours,27,118787,118002
item,iron-ore,ten_hours,28,119696,119384
item,iron-ore,ten_hours,29,122244,121579
item,iron-ore,ten_hours,30,123689,123365
item,iron-ore,ten_hours,31,124226,123976
item,iron-ore,ten_hours,32,123845,123638
item,iron-ore,ten_hours,33,125154,124559
item,iron-ore,ten_hours,34,125023,125345
item,iron-ore,ten_hours,35,124145,124371
item,iron-ore,ten_hours,36,124884,124081
item,iron-ore,ten_hours,37,125118,124652
item,iron-ore,ten_hours,38,125961,125840
item,iron-ore,ten_hours,39,126889,126489
item,iron-ore,ten_hours,40,126935,127915
item,iron-ore,ten_hours,41,129690,132175
item,iron-ore,ten_hours,42,131849,127669
item,iron-ore,ten_hours,43,132970,125784
item,iron-ore,ten_hours,44,134847,123975
item,iron-ore,ten_hours,45,135353,123058
item,iron-ore,ten_hours,46,135742,116332
item,iron-ore,ten_hours,47,136609,109040
item,iron-ore,ten_hours,48,125248,103283
item,iron-ore,ten_hours,49,117970,98938
item,iron-ore,ten_hours,50,118830,91300
item,iron-ore,ten_hours,51,104261,80412
item,iron-ore,ten_hours,52,100825,79624
item,iron-ore,ten_hours,53,85489,71657
item,iron-ore,ten_hours,54,75008,63521
item,iron-ore,ten_hours,55,73162,63105
item,iron-ore,ten_hours,56,66267,57021
item,iron-ore,ten_hours,57,58793,45571
item,iron-ore,ten_hours,58,53005,45295
item,iron-ore,ten_hours,59,44976,44988
