#tick=1449059,netprod=8792136986877.3,nets=3379
kind,name,sample,input,output
pw,bulk-inserter,18,2372.4997222222,0
pw,bulk-inserter,19,2453.6833333333,0
pw,bulk-inserter,20,2365.9930555556,0
pw,bulk-inserter,21,2492.8522222222,0
pw,bulk-inserter,22,2334.5813888889,0
pw,bulk-inserter,23,2484.3011111111,0
pw,bulk-inserter,24,2338.6052777778,0
pw,bulk-inserter,25,2461.8383333333,0
pw,bulk-inserter,26,2346.0197222222,0
pw,bulk-inserter,27,2415.8252777778,0
pw,bulk-inserter,28,2389.3611111111,0
pw,bulk-inserter,29,2384.14,0
pw,bulk-inserter,30,2442.8283333333,0
pw,bulk-inserter,31,2409.7888888889,0
pw,bulk-inserter,32,2408.9547222222,0
pw,bulk-inserter,33,2376.6163888889,0
pw,bulk-inserter,34,2389.165,0
pw,bulk-inserter,35,2447.2991666667,0
pw,bulk-inserter,36,2388.8616666667,0
pw,bulk-inserter,37,2464.0380555556,0
pw,bulk-inserter,38,2336.3213888889,0
pw,bulk-inserter,39,2515.1141666667,0
pw,bulk-inserter,40,2296.6316666667,0
pw,bulk-inserter,41,2477.7372222222,0
pw,bulk-inserter,42,2340.1686111111,0
pw,bulk-inserter,43,2410.2541666667,0
pw,bulk-inserter,44,2468.9297222222,0
pw,bulk-inserter,45,2346.1566666667,0
pw,bulk-inserter,46,2425.1430555556,0
pw,bulk-inserter,47,2336.4852777778,0
pw,bulk-inserter,48,2485.7752777778,0
pw,bulk-inserter,49,2389.9633333333,0
pw,bulk-inserter,50,2370.1586111111,0
pw,bulk-inserter,51,2386.6338888889,0
pw,bulk-inserter,52,2377.5161111111,0
pw,bulk-inserter,53,2437.9952777778,0
pw,bulk-inserter,54,2388.3977777778,0
pw,bulk-inserter,55,2444.9169444444,0
pw,bulk-inserter,56,2346.0941666667,0
pw,bulk-inserter,57,2516.0869444444,0
pw,bulk-inserter,58,2368.1644444444,0
pw,bulk-inserter,59,2482.2794444444,0
pw,bulk-inserter,60,2415.3530555556,0
pw,bulk-inserter,61,2392.2575,0
pw,bulk-inserter,62,2482.49,0
pw,bulk-inserter,63,2401.2369444444,0
pw,bulk-inserter,64,2466.6694444444,0
pw,bulk-inserter,65,2402.9686111111,0
pw,bulk-inserter,66,2368.3266666667,0
pw,bulk-inserter,67,2461.3563888889,0
pw,bulk-inserter,68,2407.5747222222,0
pw,bulk-inserter,69,2466.1033333333,0
pw,bulk-inserter,70,2373.4652777778,0
pw,bulk-inserter,71,2416.6861111111,0
pw,bulk-inserter,72,2309.1351388889,0
pw,bulk-inserter,73,2414.3975,0
pw,bulk-inserter,74,2428.8158333333,0
pw,bulk-inserter,75,2406.95,0
pw,bulk-inserter,76,2388.6225,0
pw,bulk-inserter,77,2357.0655555556,0
pw,bulk-inserter,78,2543.7825,0
pw,bulk-inserter,79,2076.4747222222,0
pw,bulk-inserter,80,1577.38,0
pw,bulk-inserter,81,1589.5319444444,0
pw,bulk-inserter,82,1782.7452777778,0
